time	V(vout)*Ix(M2:D)+V(p_gate)*Ix(M2:G)+V(N001)*Ix(M2:S)
0.000000000000000e+000	6.556190e-005
1.953124995068833e-009	6.556620e-005
3.906249990137667e-009	6.557452e-005
7.812499980275334e-009	6.560122e-005
1.562499996055067e-008	6.566345e-005
3.124999992110134e-008	6.575712e-005
6.249999984220267e-008	6.584923e-005
1.249999996844053e-007	6.590501e-005
2.499999993688107e-007	6.591731e-005
2.020114482681941e-006	6.587884e-005
3.790228965995071e-006	6.584413e-005
5.560343449308201e-006	6.581316e-005
7.330457932621332e-006	6.578593e-005
9.100572415934462e-006	6.576246e-005
1.087068689924759e-005	6.574273e-005
1.264080138256072e-005	6.572676e-005
2.522828215278742e-005	6.564436e-005
5.040324369324082e-005	6.558478e-005
1.007531667741476e-004	6.556308e-005
5.470537892140607e-004	6.556213e-005
5.481655635316407e-004	6.259917e-005
5.485408375959262e-004	5.348983e-005
5.486807477047075e-004	4.057037e-005
5.488858187223188e-004	5.110822e-006
5.491168418945631e-004	-4.960942e-005
5.493325569904817e-004	-1.173732e-004
5.497639871823188e-004	-2.893287e-004
5.502999651166542e-004	-5.469868e-004
5.510299559725245e-004	-9.359369e-004
5.518780145405067e-004	-1.351594e-003
5.530767129944571e-004	-1.609366e-003
5.546811967948813e-004	-8.242697e-004
5.551501188166127e-004	-2.453518e-004
5.553755201144498e-004	2.520608e-002
5.554239924657323e-004	9.085188e-002
5.554487502939684e-004	1.972424e-001
5.554725299344723e-004	3.703160e-001
5.555053643520305e-004	6.779679e-001
5.555375312015403e-004	1.051874e+000
5.556018649005597e-004	1.946103e+000
5.556697250507398e-004	3.047974e+000
5.558054453511000e-004	5.490052e+000
5.559506079557560e-004	8.163223e+000
5.561946429797298e-004	1.220608e+001
5.564845477216799e-004	1.552212e+001
5.568954662287916e-004	1.712307e+001
5.570506398678139e-004	1.687945e+001
5.572064124834204e-004	1.634720e+001
5.573618431376244e-004	1.568564e+001
5.573738152699108e-004	1.563697e+001
5.573857874021974e-004	1.558687e+001
5.573977595344838e-004	1.553533e+001
5.574097316667702e-004	1.548233e+001
5.574217037990566e-004	1.542783e+001
5.574336759313431e-004	1.537182e+001
5.574456480636295e-004	1.531426e+001
5.574881924708427e-004	1.510234e+001
5.575498418635520e-004	1.476922e+001
5.576463263089880e-004	1.418357e+001
5.577946785052302e-004	1.312005e+001
5.580292158172242e-004	1.099283e+001
5.583935445870495e-004	6.668834e+000
5.585268823372919e-004	5.054120e+000
5.586266793527655e-004	4.221886e+000
5.587562262448437e-004	3.587170e+000
5.588831433803339e-004	3.173754e+000
5.590233433406299e-004	2.858490e+000
5.592283483013988e-004	2.532271e+000
5.594847927385238e-004	2.246249e+000
5.601942547366081e-004	1.801761e+000
5.606936729903670e-004	1.632008e+000
